"PROVMUN","whichMax","Max","pcMax"
"18138","ABS",880,35.3982300884956
"18140","ABS",15624,35.9205444178775
"18141","PP",187,46.2871287128713
"18143","PSOE",263,27.0298047276465
"18144","ABS",223,28.5531370038412
"18145","ABS",3014,28.7293870936994
"18146","PSOE",297,30.7772020725389
"18147","ABS",1425,38.2139983909895
"18148","PP",275,33.6597307221542
"18149","PP",1585,30.3059273422562
"18150","ABS",2085,30.8295135294987
"18151","ABS",90,34.6153846153846
"18152","PSOE",488,51.6949152542373
"18153","ABS",2625,30.5339071769222
"18154","ABS",347,34.4587884806355
"18157","ABS",318,28.3675289919715
"18158","ABS",3327,39.8061737257717
"18159","UP",325,32.6633165829146
"18161","PSOE",70,33.0188679245283
"18162","PP",281,29.9573560767591
"18163","PP",92,28.3950617283951
"18164","ABS",710,38.6710239651416
"18165","ABS",1365,33.106960950764
"18167","ABS",645,34.0369393139842
"18168","ABS",261,32.4626865671642
"18170","PSOE",114,34.5454545454545
"18171","PSOE",655,30.8962264150943
"18173","ABS",3091,34.5749440715884
"18174","PSOE",133,29.8206278026906
"18175","ABS",3573,30.6169665809769
"18176","PSOE",112,44.8
"18177","ABS",162,38.755980861244
"18178","PSOE",255,35.4659248956885
"18179","ABS",164,30.4832713754647
"18180","ABS",223,35.2290679304897
"18181","PP",128,57.3991031390135
"18182","PSOE",624,32.7387198321091
"18183","ABS",224,34.0425531914894
"18184","PSOE",669,30.8579335793358
"18185","PP",160,29.5748613678373
"18187","PSOE",196,35.1885098743267
"18188","PSOE",571,34.5432546884453
"18189","ABS",202,26.0309278350515
"18192","PSOE",464,30.1690507152146
"18193","ABS",4497,31.351087562744
"18194","PSOE",712,33.4586466165414
"18901","ABS",156,30.5283757338552
"18902","PSOE",288,35.2941176470588
"18903","PP",277,31.1586051743532
"18904","PSOE",253,32.6451612903226
"18905","ABS",4936,33.7665891366808
"18906","PP",293,32.3756906077348
"18907","PSOE",621,33.6950623982637
"18908","PSOE",251,31.3358302122347
"18909","PSOE",200,34.5423143350604
"18910","ABS",252,31.9796954314721
"18911","ABS",2438,32.6241134751773
"18912","PSOE",547,37.1350984385608
"18913","PP",332,40.8364083640836
"18914","PSOE",556,33.7174044875682
"18915","PSOE",295,39.5973154362416
"21001","PSOE",210,32.967032967033
"21002","ABS",4971,32.1165525261662
"21003","PSOE",261,37.8260869565217
"21004","ABS",603,36.9711833231147
"21005","ABS",6610,42.5819751336726
"21006","ABS",1222,36.2826603325416
"21007","ABS",2226,35.7590361445783
"21008","ABS",1022,38.4499623777276
"21009","ABS",334,38.973162193699
"21010","ABS",6467,44.0321372642473
"21011","PSOE",1143,33.1016507384883
"21012","PSOE",90,28.4810126582279
"21013","ABS",4139,39.0803512416202
"21014","PSOE",1498,37.300796812749
"21015","ABS",287,42.2058823529412
"21016","PSOE",393,38.41642228739
"21017","ABS",1436,39.8888888888889
"21018","ABS",674,38.1006218202374
"21019","ABS",221,36.1111111111111
"21020","ABS",143,39.1780821917808
"21021","ABS",5010,40.8846091072303
"21022","ABS",66,38.5964912280702
"21023","ABS",860,40.4896421845574
"21024","ABS",166,33.739837398374
"21025","ABS",1630,40.4868355688028
"21026","ABS",107,40.2255639097744
"21027","PSOE",20,41.6666666666667
"21028","PSOE",145,38.6666666666667
"21029","PSOE",491,31.4340588988476
"21030","PSOE",729,39.8360655737705
"21031","PSOE",398,33.1943286071726
"21032","ABS",542,30.094392004442
